epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0621,2.33167,4.2243,2.40167,0.00272,0.00942,0.00039,7e-05,nan,nan,nan,0.00331761,0.00331761,0.0701415
2,133.252,2.36412,4.00398,2.48307,0.04677,0.09556,0.02296,0.00662,2.24719,25.0236,2.94353,0.0065851,0.0065851,0.0400757
3,184.911,2.25644,3.86326,2.40314,0.0726,0.06729,0.01962,0.00488,2.24835,6.02734,2.58702,0.00978659,0.00978659,0.00994382
4,236.395,2.19744,3.75462,2.33473,0.04302,0.07369,0.01927,0.00618,2.20482,4.30164,2.5001,0.009703,0.009703,0.009703
5,287.105,2.14865,3.70624,2.25788,0.12689,0.10633,0.04327,0.01326,2.19331,4.8191,2.48073,0.009604,0.009604,0.009604
6,338.461,2.11766,3.58529,2.20114,0.12871,0.0821,0.04591,0.01564,2.06564,3.55437,2.31557,0.009505,0.009505,0.009505
7,390.619,2.11407,3.46893,2.17035,0.13196,0.11171,0.06201,0.02032,2.07969,3.71426,2.82562,0.009406,0.009406,0.009406
8,441.889,2.08386,3.45897,2.13767,0.12742,0.17093,0.06783,0.02136,2.10195,3.81037,2.26867,0.009307,0.009307,0.009307
9,492.544,2.08482,3.36415,2.10334,0.11226,0.13728,0.06347,0.0187,2.11612,3.65096,2.26072,0.009208,0.009208,0.009208
10,542.258,2.07938,3.33568,2.09988,0.11885,0.11709,0.06438,0.02195,2.01247,3.53852,2.20949,0.009109,0.009109,0.009109
11,591.803,2.05484,3.24736,2.07706,0.16447,0.14939,0.10456,0.03571,2.01224,3.08478,2.23526,0.00901,0.00901,0.00901
12,642.554,2.02826,3.17429,2.0467,0.19956,0.1965,0.11362,0.03637,2.01054,2.99113,2.17982,0.008911,0.008911,0.008911
13,693.351,2.00373,3.0976,2.01272,0.19636,0.20323,0.11808,0.03763,2.00441,3.6137,2.16128,0.008812,0.008812,0.008812
14,743.74,2.01675,3.12639,2.02863,0.2146,0.17766,0.12893,0.04129,2.01768,2.95776,2.104,0.008713,0.008713,0.008713
15,795.063,1.99465,3.07451,2.00072,0.17861,0.20861,0.11371,0.03942,2.03418,2.94226,2.17757,0.008614,0.008614,0.008614
16,846.529,1.98158,3.06053,1.99575,0.23238,0.20738,0.14396,0.0474,1.99535,2.79268,2.10058,0.008515,0.008515,0.008515
17,897.071,2.00691,3.02657,2.02024,0.1963,0.24092,0.12666,0.04185,2.06016,3.25256,2.17917,0.008416,0.008416,0.008416
18,949.044,1.99767,2.97571,1.99865,0.20567,0.25034,0.12327,0.04307,1.99231,2.85312,2.09123,0.008317,0.008317,0.008317
19,1000.02,1.99238,2.9794,2.00137,0.19637,0.23149,0.13732,0.04662,1.97289,3.01144,2.12233,0.008218,0.008218,0.008218
20,1050.5,1.95762,2.90929,1.97266,0.24561,0.26514,0.16973,0.06078,2.00623,2.62667,2.11138,0.008119,0.008119,0.008119
21,1101.56,1.96204,2.88778,1.96097,0.23263,0.28533,0.17931,0.05478,2.00087,2.67429,2.10244,0.00802,0.00802,0.00802
