epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9854.02,1.46299,1.14482,1.80384,0.81645,0.78582,0.82544,0.30709,2.14412,1.01415,2.37934,0.0005941,0.0005941,0.0005941
43,10088.6,1.46861,1.14346,1.80234,0.82669,0.78251,0.8424,0.32736,2.084,1.04457,2.31848,0.0005842,0.0005842,0.0005842
44,10323.9,1.45614,1.13128,1.79648,0.85084,0.78972,0.85861,0.32208,2.13393,0.99434,2.36857,0.0005743,0.0005743,0.0005743
45,10558.7,1.46398,1.13376,1.80109,0.81074,0.77835,0.81665,0.28666,2.20264,1.01492,2.47396,0.0005644,0.0005644,0.0005644
46,10793.6,1.47071,1.13411,1.8058,0.8094,0.79262,0.84324,0.33217,2.05553,0.95427,2.32481,0.0005545,0.0005545,0.0005545
47,11028.4,1.45723,1.12115,1.78715,0.83936,0.76509,0.82029,0.26561,2.3514,0.99851,2.57492,0.0005446,0.0005446,0.0005446
48,11263,1.43625,1.11109,1.78372,0.85297,0.79373,0.84858,0.32051,2.11452,0.98256,2.37912,0.0005347,0.0005347,0.0005347
49,11497.6,1.44305,1.10368,1.78071,0.81906,0.76766,0.8251,0.30552,2.14944,1.02166,2.40347,0.0005248,0.0005248,0.0005248
50,11732.3,1.44081,1.10315,1.77926,0.85845,0.79276,0.86811,0.33383,2.05884,0.95394,2.31757,0.0005149,0.0005149,0.0005149
51,11967.1,1.43122,1.08055,1.76938,0.83856,0.76485,0.80922,0.27611,2.26706,1.01995,2.50606,0.000505,0.000505,0.000505
52,12201.6,1.43465,1.08745,1.77562,0.83476,0.81381,0.82658,0.31058,2.15618,0.9536,2.42014,0.0004951,0.0004951,0.0004951
53,12436.1,1.41691,1.06839,1.75824,0.83597,0.77027,0.82244,0.29693,2.20184,1.00435,2.474,0.0004852,0.0004852,0.0004852
54,12670.9,1.42263,1.06372,1.75099,0.82736,0.80622,0.83319,0.30069,2.19204,0.94033,2.43722,0.0004753,0.0004753,0.0004753
55,12905.6,1.39924,1.05111,1.74909,0.87167,0.78774,0.8482,0.31986,2.12723,0.93453,2.37278,0.0004654,0.0004654,0.0004654
56,13140.4,1.41315,1.04493,1.7456,0.82134,0.78037,0.82991,0.31449,2.12738,0.92629,2.4164,0.0004555,0.0004555,0.0004555
57,13375.2,1.41684,1.05528,1.75177,0.84613,0.7938,0.8369,0.30998,2.1436,0.95445,2.39426,0.0004456,0.0004456,0.0004456
58,13609.8,1.40315,1.05103,1.74233,0.87124,0.81562,0.86826,0.34679,2.03671,0.92463,2.28786,0.0004357,0.0004357,0.0004357
59,13844.7,1.38956,1.02954,1.73633,0.86317,0.80359,0.86645,0.32763,2.1082,0.94759,2.40222,0.0004258,0.0004258,0.0004258
60,14079.4,1.38693,1.02242,1.72623,0.86257,0.81999,0.85697,0.34016,2.0691,0.88195,2.3377,0.0004159,0.0004159,0.0004159
61,14314.1,1.38413,1.01002,1.73256,0.88246,0.75682,0.82685,0.32755,2.06012,0.9394,2.31645,0.000406,0.000406,0.000406
62,14549,1.371,0.99386,1.71665,0.87447,0.81977,0.86639,0.34843,2.02786,0.90299,2.29157,0.0003961,0.0003961,0.0003961
63,14783.6,1.36566,1.00496,1.71539,0.86517,0.77268,0.82838,0.32288,2.1358,0.93074,2.38761,0.0003862,0.0003862,0.0003862
64,15018.1,1.36145,1.00381,1.71039,0.85837,0.80596,0.86456,0.34453,2.06148,0.89535,2.31113,0.0003763,0.0003763,0.0003763
65,15252.9,1.34939,0.99223,1.70361,0.83747,0.801,0.85243,0.37036,1.92107,0.93519,2.20006,0.0003664,0.0003664,0.0003664
66,15487.9,1.36952,0.99134,1.70822,0.85317,0.78571,0.8415,0.3283,2.11345,0.90544,2.35754,0.0003565,0.0003565,0.0003565
67,15722.4,1.35162,0.97319,1.69232,0.83899,0.79752,0.84526,0.35139,2.00748,0.89712,2.26319,0.0003466,0.0003466,0.0003466
68,15956.9,1.3317,0.95375,1.68539,0.86187,0.82695,0.86813,0.38301,1.89071,0.87424,2.1637,0.0003367,0.0003367,0.0003367
69,16191.5,1.32131,0.95469,1.68119,0.8688,0.79886,0.85253,0.32912,2.09212,0.89417,2.38171,0.0003268,0.0003268,0.0003268
70,16425.9,1.33997,0.95368,1.68487,0.87937,0.78307,0.83894,0.30149,2.22208,0.94315,2.54862,0.0003169,0.0003169,0.0003169
71,16660.5,1.33343,0.94766,1.67774,0.8689,0.81536,0.86648,0.3607,1.97896,0.87253,2.29058,0.000307,0.000307,0.000307
72,16895.5,1.33117,0.94405,1.6733,0.88163,0.81483,0.87273,0.37446,1.9438,0.88064,2.22224,0.0002971,0.0002971,0.0002971
73,17130.3,1.31693,0.93265,1.66887,0.84037,0.83521,0.85993,0.34692,2.03033,0.87844,2.30976,0.0002872,0.0002872,0.0002872
74,17365,1.31652,0.94017,1.67315,0.84201,0.80659,0.84435,0.35025,2.02198,0.91183,2.30543,0.0002773,0.0002773,0.0002773
75,17599.5,1.32083,0.93891,1.66582,0.86716,0.7641,0.83356,0.32608,2.10542,0.91541,2.38819,0.0002674,0.0002674,0.0002674
76,17834.3,1.31314,0.92935,1.66416,0.87237,0.79288,0.85187,0.35659,2.0115,0.90677,2.28081,0.0002575,0.0002575,0.0002575
77,18069,1.29961,0.91066,1.65215,0.86959,0.81059,0.86294,0.35556,2.01739,0.87542,2.30088,0.0002476,0.0002476,0.0002476
78,18303.7,1.30335,0.91471,1.65068,0.88863,0.80765,0.87057,0.37021,1.95501,0.87583,2.2469,0.0002377,0.0002377,0.0002377
