epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3145.75,1.67217,2.01939,1.73219,0.31244,0.53297,0.29262,0.12981,1.89531,2.63031,1.99584,0.0005941,0.0005941,0.0005941
43,3220.75,1.68026,2.02507,1.7405,0.31836,0.49529,0.28903,0.13396,1.89626,2.60029,2.01854,0.0005842,0.0005842,0.0005842
44,3295.56,1.66476,2.01357,1.7217,0.31972,0.48318,0.30756,0.14508,1.85886,2.45029,1.96615,0.0005743,0.0005743,0.0005743
45,3370.49,1.64642,1.97879,1.70916,0.33401,0.53297,0.31926,0.14921,1.84807,2.55008,1.94792,0.0005644,0.0005644,0.0005644
46,3445.54,1.62821,1.97495,1.70224,0.32002,0.49529,0.30123,0.13986,1.91437,2.46856,2.04007,0.0005545,0.0005545,0.0005545
47,3520.13,1.65669,1.95658,1.7034,0.30312,0.47914,0.29154,0.13634,1.89218,2.53682,2.01318,0.0005446,0.0005446,0.0005446
48,3595.19,1.64342,1.96494,1.69108,0.31498,0.49394,0.29205,0.13661,1.86502,2.70031,1.94264,0.0005347,0.0005347,0.0005347
49,3670.04,1.62832,1.94022,1.68007,0.31627,0.48721,0.29951,0.14277,1.91655,2.75309,2.00687,0.0005248,0.0005248,0.0005248
50,3743.98,1.61345,1.92985,1.67585,0.3298,0.4576,0.30208,0.1431,1.85085,2.50454,1.9676,0.0005149,0.0005149,0.0005149
51,3818.32,1.62329,1.94146,1.68425,0.33638,0.48856,0.3077,0.144,1.88859,2.51211,1.99738,0.000505,0.000505,0.000505
52,3892.75,1.61969,1.90164,1.67879,0.30861,0.52221,0.31544,0.14476,1.90041,2.78,1.99713,0.0004951,0.0004951,0.0004951
53,3966.78,1.61097,1.90289,1.67252,0.33342,0.49798,0.31561,0.14691,1.88543,2.8554,1.97757,0.0004852,0.0004852,0.0004852
54,4041.42,1.5826,1.88564,1.65859,0.35285,0.47331,0.32443,0.15141,1.8557,2.44594,1.9625,0.0004753,0.0004753,0.0004753
55,4116.93,1.58368,1.89941,1.6501,0.31334,0.49011,0.31022,0.14624,1.88681,2.60484,1.9745,0.0004654,0.0004654,0.0004654
56,4191.83,1.58677,1.87155,1.6636,0.34027,0.48721,0.3194,0.14976,1.93338,2.64259,2.02462,0.0004555,0.0004555,0.0004555
57,4266.09,1.57899,1.8747,1.64851,0.33822,0.46972,0.31209,0.14518,1.89173,2.63453,2.00161,0.0004456,0.0004456,0.0004456
58,4340.48,1.59069,1.86355,1.64723,0.35861,0.4801,0.32631,0.15797,1.88399,2.55304,1.9738,0.0004357,0.0004357,0.0004357
59,4414.63,1.57193,1.84167,1.6528,0.36726,0.482,0.33322,0.1559,1.9244,2.52674,2.02043,0.0004258,0.0004258,0.0004258
60,4488.61,1.56116,1.83099,1.63774,0.349,0.50471,0.33201,0.15594,1.91453,2.49883,1.99452,0.0004159,0.0004159,0.0004159
61,4562.4,1.56192,1.81362,1.63977,0.34122,0.51952,0.32425,0.15649,1.90826,2.59249,2.0238,0.000406,0.000406,0.000406
62,4636.66,1.55086,1.79732,1.62221,0.3563,0.48587,0.32975,0.15603,1.95266,2.5696,2.03786,0.0003961,0.0003961,0.0003961
63,4710.2,1.5479,1.81203,1.63083,0.36806,0.48183,0.32954,0.15363,1.89851,2.56109,1.98591,0.0003862,0.0003862,0.0003862
64,4783.72,1.52538,1.76722,1.61731,0.35975,0.45357,0.32804,0.15841,1.92649,2.58991,2.00966,0.0003763,0.0003763,0.0003763
65,4857.5,1.53205,1.74984,1.61739,0.38391,0.47241,0.34356,0.16608,1.89203,2.41507,1.96426,0.0003664,0.0003664,0.0003664
66,4931.12,1.52771,1.77542,1.61144,0.35741,0.4751,0.33221,0.1583,1.89214,2.60202,1.98888,0.0003565,0.0003565,0.0003565
67,5004.7,1.53667,1.77777,1.60759,0.37264,0.46299,0.34416,0.16718,1.91779,2.51502,2.00742,0.0003466,0.0003466,0.0003466
68,5078.97,1.51337,1.76547,1.59214,0.37832,0.47376,0.34846,0.16758,1.92596,2.51021,2.01671,0.0003367,0.0003367,0.0003367
69,5153.63,1.53102,1.74779,1.61047,0.3794,0.48318,0.34869,0.16854,1.89655,2.57543,1.99873,0.0003268,0.0003268,0.0003268
70,5227.57,1.49757,1.72708,1.60468,0.38035,0.49798,0.34843,0.16923,1.93785,2.61739,2.04552,0.0003169,0.0003169,0.0003169
71,5301.91,1.50703,1.71294,1.59026,0.39607,0.44575,0.34216,0.16514,1.92292,2.66316,2.04055,0.000307,0.000307,0.000307
72,5376.62,1.49505,1.70912,1.58176,0.36572,0.47779,0.34726,0.16795,1.93232,2.57619,2.03389,0.0002971,0.0002971,0.0002971
73,5451.82,1.49313,1.70863,1.57875,0.34224,0.49664,0.34099,0.16479,1.91529,2.59007,2.01438,0.0002872,0.0002872,0.0002872
74,5527.09,1.50443,1.71351,1.58649,0.39799,0.4603,0.34855,0.16519,1.92899,2.6115,2.03398,0.0002773,0.0002773,0.0002773
75,5602.33,1.49179,1.69546,1.57288,0.36241,0.46972,0.3426,0.16719,1.92018,2.60781,2.02353,0.0002674,0.0002674,0.0002674
76,5677.51,1.48537,1.68766,1.57352,0.38179,0.47914,0.35402,0.1714,1.91842,2.54921,2.02357,0.0002575,0.0002575,0.0002575
77,5752.19,1.48812,1.6889,1.57584,0.39143,0.47267,0.35158,0.17069,1.95018,2.56857,2.03508,0.0002476,0.0002476,0.0002476
78,5826.91,1.48713,1.66371,1.57577,0.39814,0.46433,0.36056,0.17205,1.93757,2.58811,2.03407,0.0002377,0.0002377,0.0002377
79,5902.23,1.45208,1.66914,1.55329,0.39608,0.4603,0.3503,0.16744,1.93808,2.56026,2.02772,0.0002278,0.0002278,0.0002278
80,5977.73,1.46817,1.66792,1.55952,0.38407,0.44684,0.35463,0.17031,1.93781,2.57339,2.03416,0.0002179,0.0002179,0.0002179
81,6052.96,1.4337,1.62187,1.53422,0.40238,0.43742,0.35404,0.16946,1.94828,2.49793,2.03412,0.000208,0.000208,0.000208
82,6128.3,1.44908,1.62805,1.54246,0.38494,0.46972,0.35756,0.17264,1.95323,2.47885,2.04009,0.0001981,0.0001981,0.0001981
83,6203.22,1.45802,1.61722,1.55142,0.38422,0.48587,0.36143,0.17403,1.96022,2.47203,2.04624,0.0001882,0.0001882,0.0001882
84,6277.59,1.44622,1.64215,1.55184,0.36384,0.49649,0.35139,0.17215,1.93896,2.49836,2.02958,0.0001783,0.0001783,0.0001783
85,6352.56,1.42804,1.61206,1.54572,0.38324,0.4751,0.35134,0.17142,1.92905,2.52079,2.02112,0.0001684,0.0001684,0.0001684
86,6427.99,1.43208,1.59709,1.54079,0.37854,0.47914,0.35454,0.17252,1.94,2.53482,2.03417,0.0001585,0.0001585,0.0001585
87,6502.59,1.41769,1.58488,1.52839,0.3873,0.45087,0.35351,0.17171,1.93445,2.53825,2.02681,0.0001486,0.0001486,0.0001486
88,6577.02,1.41341,1.58068,1.51935,0.38508,0.45895,0.3526,0.17389,1.92215,2.52656,2.02532,0.0001387,0.0001387,0.0001387
89,6651.81,1.40328,1.5748,1.51935,0.38349,0.45895,0.3552,0.17334,1.92631,2.51696,2.03032,0.0001288,0.0001288,0.0001288
90,6725.69,1.408,1.55265,1.52181,0.36848,0.48183,0.3586,0.17573,1.92625,2.51133,2.02288,0.0001189,0.0001189,0.0001189
91,6801.59,1.37607,1.43742,1.55878,0.38026,0.48452,0.35615,0.17588,1.9337,2.46634,2.02852,0.000109,0.000109,0.000109
92,6874.47,1.34956,1.36979,1.54096,0.39314,0.48856,0.36145,0.17999,1.93219,2.35734,2.03245,9.91e-05,9.91e-05,9.91e-05
93,6948.98,1.3469,1.34444,1.55222,0.40132,0.48318,0.37374,0.18532,1.92809,2.30842,2.03806,8.92e-05,8.92e-05,8.92e-05
94,7023.1,1.32569,1.3326,1.52798,0.40127,0.47106,0.37624,0.18729,1.92469,2.27983,2.03335,7.93e-05,7.93e-05,7.93e-05
95,7097.19,1.3243,1.3188,1.53405,0.40824,0.47376,0.37909,0.18622,1.93114,2.25513,2.04009,6.94e-05,6.94e-05,6.94e-05
96,7171.03,1.30654,1.30094,1.52453,0.39578,0.4926,0.37922,0.18768,1.93444,2.25973,2.04234,5.95e-05,5.95e-05,5.95e-05
97,7244.92,1.31441,1.29148,1.51504,0.38511,0.49649,0.37857,0.18824,1.93262,2.26705,2.04367,4.96e-05,4.96e-05,4.96e-05
98,7319.1,1.29376,1.29444,1.50384,0.37856,0.4952,0.37676,0.18706,1.93818,2.26137,2.05196,3.97e-05,3.97e-05,3.97e-05
99,7393.05,1.29124,1.28549,1.50458,0.38295,0.48856,0.37437,0.18439,1.94256,2.25471,2.05541,2.98e-05,2.98e-05,2.98e-05
100,7466.94,1.30418,1.28207,1.51338,0.39416,0.48452,0.37648,0.18718,1.94294,2.24984,2.05688,1.99e-05,1.99e-05,1.99e-05
